Data;Dia da Semana;Feriado
01/01/2020;quarta-feira;Confraternização Universal
24/02/2020;segunda-feira;Carnaval
25/02/2020;terça-feira;Carnaval
10/04/2020;sexta-feira;Paixão de Cristo
21/04/2020;terça-feira;Tiradentes
01/05/2020;sexta-feira;Dia do Trabalho
11/06/2020;quinta-feira;Corpus Christi
07/09/2020;segunda-feira;Independência do Brasil
12/10/2020;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2020;segunda-feira;Finados
15/11/2020;domingo;Proclamação da República
25/12/2020;sexta-feira;Natal
01/01/2021;sexta-feira;Confraternização Universal
15/02/2021;segunda-feira;Carnaval
16/02/2021;terça-feira;Carnaval
02/04/2021;sexta-feira;Paixão de Cristo
21/04/2021;quarta-feira;Tiradentes
01/05/2021;sábado;Dia do Trabalho
03/06/2021;quinta-feira;Corpus Christi
07/09/2021;terça-feira;Independência do Brasil
12/10/2021;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2021;terça-feira;Finados
15/11/2021;segunda-feira;Proclamação da República
25/12/2021;sábado;Natal
